year,discovery_date,fire_name,fire_size_acres,fire_type,average_distance_miles,listed_dates,days_burning
1978,1978-09-21,DRK HOLLOW (2),0.09945314386183451,Wildfire,377.2726644389929,Listed Wildfire Discovery Date(s): 1978-09-21 (1) | Listed Wildfire Controlled Date(s): 1978-09-21 (1) | Listed Wildfire Out Date(s): 1978-09-22 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),40
1978,1978-10-23,xx NONE xx (2),0.09531390445925529,Wildfire,517.0080589618742,Listed Wildfire Discovery Date(s): 1978-10-23 (1) | Listed Wildfire Controlled Date(s): 1978-10-23 (1) | Listed Wildfire Out Date(s): 1978-10-24 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),8
1979,1979-10-31,xx NONE xx (2),5.44319715672513,Wildfire,518.549648037998,Listed Wildfire Discovery Date(s): 1979-10-31 (1) | Listed Wildfire Controlled Date(s): 1979-10-31 (1) | Listed Wildfire Out Date(s): 1979-11-01 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),0
1979,1979-10-22,xx NONE xx (2),5.170624690596138,Wildfire,510.2420124100106,Listed Wildfire Discovery Date(s): 1979-10-22 (1) | Listed Wildfire Controlled Date(s): 1979-10-23 (1) | Listed Wildfire Out Date(s): 1979-10-23 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),9
1979,1979-10-26,xx NONE xx (2),2.2461784857978104,Wildfire,515.0685092110784,Listed Wildfire Discovery Date(s): 1979-10-26 (1) | Listed Wildfire Controlled Date(s): 1979-10-26 (1) | Listed Wildfire Out Date(s): 1979-10-27 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),5
1979,1979-10-23,xx NONE xx (2),0.1178939062160156,Wildfire,498.61848467263883,Listed Wildfire Discovery Date(s): 1979-10-23 (1) | Listed Wildfire Controlled Date(s): 1979-10-24 (1) | Listed Wildfire Out Date(s): 1979-10-24 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),8
1979,1979-05-27,TWIN GUNS (2),0.09986378382644336,Wildfire,113.05390109573645,Listed Wildfire Discovery Date(s): 1979-05-27 (1) | Listed Wildfire Controlled Date(s): 1979-05-27 (1) | Listed Wildfire Out Date(s): 1979-05-27 (1) | Listed Other Fire Date(s): 2017-04-27 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2017-04-27 (1),157
1979,1979-07-03,Atlantic Drive South,0.09985625845356426,Wildfire,112.82158081149679,Listed Wildfire Discovery Date(s): 1979-07-03 (1) | Listed Other Fire Date(s): 2017-04-27 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2017-04-27 (1),120
1980,1980-10-24,xx NONE xx (2),3.0698120829894306,Wildfire,511.79566654585517,Listed Wildfire Discovery Date(s): 1980-10-24 (1) | Listed Wildfire Controlled Date(s): 1980-10-24 (1) | Listed Wildfire Out Date(s): 1980-10-24 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),7
1980,1980-05-05,xx NONE xx (2),2.939527850662564,Wildfire,519.0759945413674,Listed Wildfire Discovery Date(s): 1980-05-05 (1) | Listed Wildfire Controlled Date(s): 1980-05-05 (1) | Listed Wildfire Out Date(s): 1980-05-06 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),179
1980,1980-06-23,OVENTOP (2),1.9889166799471958,Wildfire,365.0146515999951,Listed Wildfire Discovery Date(s): 1980-06-23 (1) | Listed Wildfire Controlled Date(s): 1980-06-23 (1) | Listed Wildfire Out Date(s): 1980-06-24 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),130
1980,1980-05-04,xx NONE xx (2),1.0719271527508398,Wildfire,513.4387970637327,Listed Wildfire Discovery Date(s): 1980-05-04 (1) | Listed Wildfire Controlled Date(s): 1980-05-04 (1) | Listed Wildfire Out Date(s): 1980-05-04 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),180
1980,1980-10-22,CORBIN MTN (2),0.9943231706736829,Wildfire,370.01080678201083,Listed Wildfire Discovery Date(s): 1980-10-22 (1) | Listed Wildfire Controlled Date(s): 1980-10-22 (1) | Listed Wildfire Out Date(s): 1980-10-26 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),9
1980,1980-05-07,ROCK FACE (2),0.7302607073183592,Wildfire,644.5200319693442,Listed Wildfire Discovery Date(s): 1980-05-07 (1) | Listed Wildfire Controlled Date(s): 1980-05-07 (1) | Listed Wildfire Out Date(s): 1980-05-08 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),177
1980,1980-10-31,BLUEMONT (2),0.2148578163462064,Wildfire,549.0872982025496,Listed Wildfire Discovery Date(s): 1980-10-31 (1) | Listed Wildfire Controlled Date(s): 1980-10-31 (1) | Listed Wildfire Out Date(s): 1980-11-01 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),0
1980,1980-09-23,RIVER (2),0.1267744179470642,Wildfire,493.9139584553924,Listed Wildfire Discovery Date(s): 1980-09-23 (1) | Listed Wildfire Controlled Date(s): 1980-09-23 (1) | Listed Wildfire Out Date(s): 1980-09-24 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),38
1980,1980-10-20,xx NONE xx (2),0.10503767993481072,Wildfire,509.466002700381,Listed Wildfire Discovery Date(s): 1980-10-20 (1) | Listed Wildfire Controlled Date(s): 1980-10-20 (1) | Listed Wildfire Out Date(s): 1980-10-20 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),11
1980,1980-08-17,WOODPILE (2),0.0997804414815284,Wildfire,114.1054896357635,Listed Wildfire Discovery Date(s): 1980-08-17 (1) | Listed Wildfire Controlled Date(s): 1980-08-17 (1) | Listed Wildfire Out Date(s): 1980-08-18 (1) | Listed Other Fire Date(s): 2017-04-27 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2017-04-27 (1),75
1980,1980-07-04,Firework,0.09975749987556978,Wildfire,113.80082358634134,Listed Wildfire Discovery Date(s): 1980-07-04 (1) | Listed Other Fire Date(s): 2017-04-27 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2017-04-27 (1),119
1980,1980-05-04,Pole near Battery Potter (2),0.09973162592660287,Wildfire,112.86066730144688,Listed Wildfire Discovery Date(s): 1980-05-04 (1) | Listed Other Fire Date(s): 2017-04-27 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2017-04-27 (1),180
1981,1981-05-04,xx NONE xx (2),24.610641990046833,Wildfire,522.3910858314566,Listed Wildfire Discovery Date(s): 1981-05-04 (1) | Listed Wildfire Controlled Date(s): 1981-05-05 (1) | Listed Wildfire Out Date(s): 1981-05-05 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),180
1981,1981-05-17,xx NONE xx (2),5.285558706902332,Wildfire,518.128679765712,Listed Wildfire Discovery Date(s): 1981-05-17 (1) | Listed Wildfire Controlled Date(s): 1981-05-17 (1) | Listed Wildfire Out Date(s): 1981-05-17 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),167
1981,1981-10-20,GALAX (2),3.036080928138054,Wildfire,632.2560760852907,Listed Wildfire Discovery Date(s): 1981-10-20 (1) | Listed Wildfire Controlled Date(s): 1981-10-20 (1) | Listed Wildfire Out Date(s): 1981-10-22 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),11
1981,1981-10-17,xx NONE xx (2),2.3484109111060065,Wildfire,518.5998618785495,Listed Wildfire Discovery Date(s): 1981-10-17 (1) | Listed Wildfire Controlled Date(s): 1981-10-18 (1) | Listed Wildfire Out Date(s): 1981-10-18 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),14
