year,discovery_date,fire_name,fire_size_acres,fire_type,average_distance_miles,listed_dates,days_burning,smoke_impact,normalized_smoke_impact
2008,2008-08-10,Spiker (2),4.991347536294337,Wildfire,359.09502073545207,Listed Wildfire Discovery Date(s): 2008-08-10 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1),82,0.003174043656898326,0.0031690170140443092
2008,2008-05-26,Canarsie (2),0.035690097078974,Wildfire,100.00562278820104,Listed Wildfire Discovery Date(s): 2008-05-26 (1) | Listed Wildfire Controlled Date(s): 2008-05-26 (1) | Listed Wildfire Out Date(s): 2008-05-26 (1) | Listed Other Fire Date(s): 2017-12-01 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2014-03-07 (1),158,0.0005638401249931248,0.0005636812268757993
2008,2008-08-16,Harrison Water Fire (2),0.0277349521208884,Wildfire,400.1565189113869,Listed Wildfire Discovery Date(s): 2008-08-16 (1) | Listed Wildfire Controlled Date(s): 2008-08-16 (1) | Listed Wildfire Out Date(s): 2008-08-16 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-02-03 (1),76,1.3163798324948277e-05,1.3163711682915464e-05
2008,2008-10-23,SWOF08-01 (2),0.0114903629799873,Wildfire,110.5825861487217,Listed Wildfire Discovery Date(s): 2008-10-23 (1) | Listed Wildfire Controlled Date(s): 2008-10-23 (1) | Listed Wildfire Out Date(s): 2008-10-23 (1) | Listed Other Fire Date(s): 2017-12-01 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2014-03-07 (1),8,7.517098663116404e-06,7.517070409871837e-06
2008,2008-05-25,Runaway (2),0.0074218025710611,Wildfire,101.48424326050892,Listed Wildfire Discovery Date(s): 2008-05-25 (1) | Listed Wildfire Controlled Date(s): 2008-05-25 (1) | Listed Wildfire Out Date(s): 2008-05-25 (1) | Listed Other Fire Date(s): 2017-12-01 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2014-03-07 (1),159,0.00011458012360508906,0.00011457355980410901
2008,2008-08-20,Sanitation (2),0.0068542381255276,Wildfire,102.02164486072247,Listed Wildfire Discovery Date(s): 2008-08-20 (1) | Listed Wildfire Controlled Date(s): 2008-08-20 (1) | Listed Wildfire Out Date(s): 2008-08-20 (1) | Listed Other Fire Date(s): 2017-12-01 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2014-03-07 (1),72,4.741404879335752e-05,4.741292478287515e-05
2008,2008-10-11,Rollohay (2),0.0061381085866445,Wildfire,347.38856227643447,"Listed Wildfire Discovery Date(s): 2008-10-11 (1), 2008-08-04 (1) | Listed Wildfire Controlled Date(s): 2008-10-11 (1), 2008-08-05 (1) | Listed Wildfire Out Date(s): 2008-10-12 (1), 2008-08-06 (1) | Listed Other Fire Date(s): 2017-12-01 - NIFC DATE_CUR field (2) | Listed Upload Date(s): 2016-06-14 (2)",20,1.0172636644092667e-06,1.017263146996936e-06
2008,2008-07-02,Mertz Fire (2),0.0012761216776101,Wildfire,354.9444079860809,Listed Wildfire Discovery Date(s): 2008-07-02 (1) | Listed Wildfire Controlled Date(s): 2008-07-02 (1) | Listed Wildfire Out Date(s): 2008-07-02 (1) | Listed Other Fire Date(s): 2017-12-01 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-06-14 (1),121,1.2256226537077804e-06,1.2256219026329494e-06
2009,2009-07-23,Carolina Bay  (1),2659.4586485489313,Wildfire,536.00482714723,"Listed Ignition Date(s): 2009-07-23 (1) | Listed Wildfire Discovery Date(s): 2009-07-23 (1) | Listed Other Fire Date(s): 2009-07-31 - DATE_CUR field (1), 1899-12-30 - REVDATE field (1)",100,0.9256692566931899,0.6552735731326363
2009,2009-09-04,Laurel Run (2),5.013426335772836,Wildfire,375.8815232742949,Listed Wildfire Discovery Date(s): 2009-09-04 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1),57,0.002022588517546113,0.0020205458392584847
